issued_at_utc,target_date,issue_timing,model_version,forecast_demand_mwh,forecast_wind_mwh,forecast_solar_mwh,forecast_nuclear_mwh,forecast_hydro_mwh,forecast_variable_residual_mwh,forecast_firm_residual_mwh,forecast_peak_price_eur_mwh,training_end,forecast_id
2026-07-24T01:36:20.043113+00:00,2026-07-25,pre_auction,20260724T013523Z,678245.7294613901,188169.98451103,259768.73955722884,151033.39206256493,50868.69674524136,230307.0053931312,79273.61333056627,114.69106572730531,2026-07-23,411e65cbe4754575
2026-07-25T10:47:04.267391+00:00,2026-07-26,post_auction,20260724T013523Z,613541.4246875541,147206.5193389781,264784.69194745115,159478.30769288327,53518.07988532775,201550.21340112487,42071.9057082416,86.61060984068607,2026-07-23,7d59a2a752bc3b00
2026-07-26T10:55:53.020652+00:00,2026-07-27,post_auction,20260724T013523Z,742662.5355437306,124385.03835125364,271271.9409863308,161149.29086111696,69486.35690679657,347005.5562061462,185856.26534502924,161.58192134116214,2026-07-23,786f617a1e8d97d9
2026-07-27T12:38:43.954133+00:00,2026-07-28,post_auction,20260724T013523Z,770363.1568890153,86995.07458578663,277850.51777096465,158948.62805838863,75676.89503211375,405517.564532264,246568.93647387536,191.0654165214959,2026-07-23,38d5f30fce9e264f
2026-07-28T11:29:52.187945+00:00,2026-07-29,post_auction,20260724T013523Z,773663.0058114927,99230.24659487596,277552.28695976565,160362.99010257496,75738.0122674665,396880.4722568511,236517.4821542761,197.4967519908893,2026-07-23,2d5ea3a54c9a532c
2026-07-29T11:35:57.925780+00:00,2026-07-30,post_auction,20260724T013523Z,780487.3456738642,98980.6377738269,273337.55126747856,160268.8393006922,80316.70567501395,408169.15663255873,247900.3173318665,211.245671961977,2026-07-23,73cbcf7d67fbd53b
2026-07-30T11:23:42.606296+00:00,2026-07-31,post_auction,20260724T013523Z,784283.1063503047,108087.29339711842,260170.2156670313,159246.74526202783,74559.29813351786,416025.5972861549,256778.8520241271,197.00301388895048,2026-07-23,706505cc7a8f8165
2026-07-31T11:36:58.415528+00:00,2026-08-01,post_auction,20260724T013523Z,662144.1617235593,100872.45707970866,273798.74918645713,158762.724159691,60565.69628099185,287472.95545739343,128710.23129770244,159.98278871836877,2026-07-23,03187044297011ce
2026-08-01T10:51:27.973737+00:00,2026-08-02,post_auction,20260724T013523Z,627551.1443952746,95060.10557533696,260800.2348577729,158494.777262246,61145.14661281998,271690.8039621647,113196.02669991869,143.88837270394208,2026-07-23,2441d355b4cf9216
2026-08-02T10:52:09.876791+00:00,2026-08-03,post_auction,20260724T013523Z,731169.7405368165,107507.24836755951,204826.28258257263,150286.4931466118,83341.70275681689,418836.2095866844,268549.7164400726,200.09293597917608,2026-07-23,299a37eee49545f7
2026-08-03T12:38:13.219702+00:00,2026-08-04,post_auction,20260724T013523Z,768890.5136574574,95901.95857988832,273021.7087500454,147476.7900222821,78779.39071468012,399966.8463275237,252490.0563052416,188.754723449721,2026-07-23,7c3960df2dee1d31
2026-08-04T11:36:14.934310+00:00,2026-08-05,post_auction,20260724T013523Z,775661.2649486494,102018.22846492108,259280.6722497534,147398.0370111826,75219.2069890054,414362.36423397495,266964.3272227923,177.77581519259402,2026-07-23,a97dd3174a82bc80
2026-08-05T11:32:16.368534+00:00,2026-08-06,post_auction,20260724T013523Z,784871.5056072487,89946.73094539337,263305.99266422563,146810.50659610238,79765.6088163895,431618.7819976298,284808.2754015274,204.11227326717025,2026-07-23,2be88cc4d55c04f6
2026-08-06T11:35:20.825057+00:00,2026-08-07,post_auction,20260724T013523Z,772328.8548158872,85443.71773197509,275347.5023025463,146498.45796003868,76888.08580049714,411537.63478136575,265039.17682132707,205.3906959922052,2026-07-23,ab3bb31f79bcc4d2
2026-08-07T10:14:04.155942+00:00,2026-08-08,post_auction,20260724T013523Z,719888.7374260612,95796.82478439104,260301.9735503845,148657.86000994433,67274.5909108816,363789.9390912856,215132.07908134125,181.04790520402227,2026-07-23,9a1adfd15e3da8b3
2026-08-08T09:56:23.115142+00:00,2026-08-09,post_auction,20260724T013523Z,651339.6174971797,94041.36575316216,247716.74134670245,147146.2966052658,62740.029666532166,309581.510397315,162435.21379204924,151.12532087379134,2026-07-23,304dbd06ac1e3df4
2026-08-09T09:58:50.674173+00:00,2026-08-10,post_auction,20260724T013523Z,741768.380308234,72136.77670840391,265027.35320279613,146791.13329773996,80458.18937768473,404604.25039703393,257813.117099294,196.868422263978,2026-07-23,b0979b8b9af3bfdb
2026-08-10T10:38:11.040487+00:00,2026-08-11,post_auction,20260724T013523Z,747911.3432234708,63805.05859249997,270982.4782604281,147405.79804794912,80060.31692468644,413123.8063705428,265718.00832259364,210.6806165465449,2026-07-23,770f72fd31fd4a9f
2026-08-11T10:13:24.245842+00:00,2026-08-12,post_auction,20260724T013523Z,769352.6032029764,54386.75463044717,272024.9416135221,147341.0927492653,80692.90324904805,442940.9069590072,295599.81420974183,212.3323784427728,2026-07-23,fa4c5b93984175c3
2026-08-12T10:28:02.875062+00:00,2026-08-13,post_auction,20260724T013523Z,774217.7910580427,86115.62314011258,265009.9397043181,145894.48270931948,80986.08384986896,423092.22821361193,277197.7455042924,198.9371152959852,2026-07-23,b8bd3112118cddb8
2026-08-13T10:29:52.902841+00:00,2026-08-14,post_auction,20260724T013523Z,761119.7398909851,118797.50905724456,225088.6293509751,144373.50874540024,76961.42840258821,417233.6014827655,272860.0927373652,184.19976431171864,2026-07-23,fb128af505b81b16
2026-08-14T10:19:02.748677+00:00,2026-08-15,post_auction,20260724T013523Z,701249.8515362922,140704.82561556675,181383.1853028343,145603.41402350218,61285.14388630725,379161.8406178912,233558.426594389,169.50670165398512,2026-07-23,dec68bca0012f4a9
2026-08-15T09:43:34.435837+00:00,2026-08-16,post_auction,20260724T013523Z,646371.5260609436,91256.22173086004,186474.6705941759,148669.7221302701,62821.26628846863,368640.6337359076,219970.91160563752,184.5564470426565,2026-07-23,b104b58443522780
2026-08-16T09:44:52.525761+00:00,2026-08-17,post_auction,20260724T013523Z,743367.1104605249,97465.56229558324,223099.3690220401,146866.83944584656,70381.45444587371,422802.1791429015,275935.33969705494,214.98933772874216,2026-07-23,593ae332bd2e5ef9
2026-08-17T09:59:06.262150+00:00,2026-08-18,post_auction,20260724T013523Z,756317.0632674964,94813.04883022745,245751.95255684512,145107.06178894071,74444.71381913696,415752.0618804238,270645.0000914831,197.10418249565225,2026-07-23,bc24935c16101cf0
2026-08-18T09:49:51.154168+00:00,2026-08-19,post_auction,20260724T013523Z,757352.7851060758,112842.46313761524,232550.1452743781,145011.51431789206,68187.64961488874,411960.1766940825,266948.6623761904,188.83123955140715,2026-07-23,4b75c19b584d4c68
2026-08-19T09:51:36.459237+00:00,2026-08-20,post_auction,20260724T013523Z,740160.7476650716,149165.4103560919,183099.10546114045,155240.85294222806,65592.211349213,407896.2318478393,252655.3789056113,166.62832716802671,2026-07-23,dc858c6ed29d1e97
2026-08-20T09:51:56.455559+00:00,2026-08-21,post_auction,20260724T013523Z,716498.5765148218,138096.14927886715,231094.8332435125,163263.18392119178,59948.709660503344,347307.5939924421,184044.4100712504,137.32996079665128,2026-07-23,7ccdb27d0bafd4f1
2026-08-21T09:54:06.045192+00:00,2026-08-22,post_auction,20260724T013523Z,618696.5058898212,109133.0207528814,199892.95077196395,165883.3425030746,55818.55233216337,309670.5343649759,143787.19186190126,129.06416013405936,2026-07-23,ec8719223fba85b4
2026-08-22T09:44:43.482948+00:00,2026-08-23,post_auction,20260724T013523Z,602267.9061466682,128345.73843033134,190415.96506495032,163273.09162233185,48359.72802342909,283506.2026513866,120233.11102905477,117.2867619915246,2026-07-23,3dcdc740d388ed53
2026-08-23T09:45:25.190942+00:00,2026-08-24,post_auction,20260724T013523Z,687906.2567401901,196326.1627377544,162645.65393214914,161268.96368313133,60852.6582914644,328934.4400702865,167665.47638715518,103.27588338717273,2026-07-23,eb9853e2b3365591
2026-08-24T10:06:09.587715+00:00,2026-08-25,post_auction,20260724T013523Z,705218.4818255905,153400.96564525814,205463.67744492195,165976.55191606263,57593.66412738917,346353.8387354104,180377.28681934773,117.75395156233937,2026-07-23,65070f50f54070be
2026-08-25T09:53:26.153115+00:00,2026-08-26,post_auction,20260724T013523Z,706007.3768636312,177933.58884648493,170877.62794292558,163542.51393435395,60766.867437008026,357196.16007422074,193653.6461398668,119.68201042915535,2026-07-23,25bf1fc5bc3074f3
