forecast_id,target_date,graded_at_utc,actual_demand_mwh,actual_wind_mwh,actual_solar_mwh,actual_nuclear_mwh,actual_hydro_mwh,actual_peak_price_eur_mwh,demand_error_mwh,wind_error_mwh,solar_error_mwh,nuclear_error_mwh,hydro_error_mwh,price_error_eur_mwh,price_absolute_error_eur_mwh
411e65cbe4754575,2026-07-25,2026-08-09T07:30:46.620006+00:00,655060.7000000001,162892.4,223666.2,165587.1,49197.3,175.92,23185.02946138999,25277.58451103,36102.539557228825,-14553.707937435072,1671.3967452413563,-61.22893427269467,61.22893427269467
7d59a2a752bc3b00,2026-07-26,2026-08-09T07:30:46.620006+00:00,587901.6,124527.7,217669.6,165497.5,46213.4,177.46,25639.82468755415,22678.819338978108,47115.09194745115,-6019.192307116726,7304.6798853277505,-90.84939015931394,90.84939015931394
786f617a1e8d97d9,2026-07-27,2026-08-09T07:30:46.620006+00:00,715517.0999999999,124199.3,279156.1,166377.7,57224.8,250.0,27145.43554373074,185.73835125363257,-7884.159013669181,-5228.409138883057,12261.55690679657,-88.41807865883786,88.41807865883786
38d5f30fce9e264f,2026-07-28,2026-08-09T07:30:46.620006+00:00,765159.4,83439.2,279729.9,166648.8,67303.3,234.46,5203.75688901532,3555.8745857866306,-1879.382229035371,-7700.171941611363,8373.59503211375,-43.3945834785041,43.3945834785041
2d5ea3a54c9a532c,2026-07-29,2026-08-09T07:30:46.620006+00:00,785901.7,96835.5,289386.9,166293.0,64691.7,225.09,-12238.694188507274,2394.7465948759636,-11834.61304023437,-5930.009897425043,11046.312267466506,-27.59324800911071,27.59324800911071
73cbcf7d67fbd53b,2026-07-30,2026-08-09T07:30:46.620006+00:00,789929.8,90040.8,286634.3,165629.9,70032.5,220.0,-9442.454326135805,8939.83777382689,-13296.748732521432,-5361.060699307796,10284.205675013945,-8.754328038023004,8.754328038023004
706505cc7a8f8165,2026-07-31,2026-08-09T07:30:46.620006+00:00,769059.0,100770.4,280006.0,165623.7,65538.8,182.6,15224.106350304675,7316.893397118431,-19835.784332968702,-6376.954737972177,9020.49813351786,14.403013888950483,14.403013888950483
03187044297011ce,2026-08-01,2026-08-09T07:30:46.620006+00:00,692272.4,99022.8,279476.2,145647.8,58771.7,198.69,-30128.238276440767,1849.6570797086606,-5677.450813542877,13114.924159691,1793.9962809918507,-38.70721128163123,38.70721128163123
2441d355b4cf9216,2026-08-02,2026-08-09T07:30:46.620006+00:00,646513.7,71382.4,262440.8,136115.4,56605.3,210.3,-18962.555604725378,23677.705575336964,-1640.5651422270748,22379.37726224601,4539.84661281998,-66.41162729605793,66.41162729605793
299a37eee49545f7,2026-08-03,2026-08-09T07:30:46.620006+00:00,737565.0,90090.7,230725.09999999998,137967.3,67464.2,222.69,-6395.259463183465,17416.548367559517,-25898.817417427344,12319.193146611826,15877.502756816888,-22.59706402082392,22.59706402082392
7c3960df2dee1d31,2026-08-04,2026-08-09T07:30:46.620006+00:00,734709.4999999999,83607.4,292695.60000000003,141830.9,60383.7,212.52,34181.013657457544,12294.558579888326,-19673.891249954642,5645.89002228211,18395.690714680124,-23.765276550278998,23.765276550278998
a97dd3174a82bc80,2026-08-05,2026-08-09T07:30:46.620006+00:00,741444.6,97486.7,301140.2,142107.8,52408.3,199.47,34216.66494864947,4531.528464921081,-41859.527750246605,5290.237011182617,22810.906989005394,-21.694184807405975,21.694184807405975
2be88cc4d55c04f6,2026-08-06,2026-08-09T07:30:46.620006+00:00,750121.3,102700.7,296533.4,142297.4,53042.9,209.61,34750.2056072487,-12753.969054606627,-33227.40733577439,4513.106596102385,26722.708816389502,-5.497726732829761,5.497726732829761
ab3bb31f79bcc4d2,2026-08-07,2026-08-09T07:30:46.620006+00:00,745784.1,71081.9,299315.7,142146.5,57881.7,220.0,26544.754815887194,14361.817731975098,-23968.197697453725,4351.957960038679,19006.38580049714,-14.609304007794805,14.609304007794805
9a1adfd15e3da8b3,2026-08-08,2026-08-09T07:30:46.620006+00:00,686428.8999999999,84058.2,263402.3,141776.5,54591.6,191.01,33459.837426061276,11738.624784391039,-3100.3264496155025,6881.360009944328,12682.9909108816,-9.96209479597772,9.96209479597772
