delivery_date,wx_demand_temperature_mean,wx_demand_temperature_max,wx_demand_temperature_min,wx_demand_cloud_mean,wx_demand_precipitation_sum,wx_demand_shortwave_sum,wx_demand_dni_sum,wx_demand_wind_mean,wx_demand_wind_max,wx_demand_wind_cubed_mean,wx_hydro_temperature_mean,wx_hydro_temperature_max,wx_hydro_temperature_min,wx_hydro_cloud_mean,wx_hydro_precipitation_sum,wx_hydro_shortwave_sum,wx_hydro_dni_sum,wx_hydro_wind_mean,wx_hydro_wind_max,wx_hydro_wind_cubed_mean,wx_solar_temperature_mean,wx_solar_temperature_max,wx_solar_temperature_min,wx_solar_cloud_mean,wx_solar_precipitation_sum,wx_solar_shortwave_sum,wx_solar_dni_sum,wx_solar_wind_mean,wx_solar_wind_max,wx_solar_wind_cubed_mean,wx_wind_temperature_mean,wx_wind_temperature_max,wx_wind_temperature_min,wx_wind_cloud_mean,wx_wind_precipitation_sum,wx_wind_shortwave_sum,wx_wind_dni_sum,wx_wind_wind_mean,wx_wind_wind_max,wx_wind_wind_cubed_mean,wx_wind_site_dispersion,wx_demand_hdd,wx_demand_cdd,wx_hydro_precip_roll7,wx_hydro_precip_roll30
2026-06-13,26.46736363636364,32.64,19.282,43.91818181818182,0.0,8169.39,9110.282,3.9497,7.315799999999999,100.39771279181818,23.829545454545453,32.085,15.330000000000002,68.60909090909091,0.0,7964.625,8057.975,2.9110454545454547,5.8335,104.37467459545455,26.260272727272728,32.862,18.500000000000004,41.77181818181818,0.020000000000000004,8074.240000000001,8901.564,5.4565,8.962800000000001,345.4115620081818,24.469,31.886,16.218,59.06090909090909,0.06,8040.696,8619.292,5.571290909090909,8.963799999999999,644.6611541690909,5.489526281453241,0.0,4.46736363636364,0.0,0.0
2026-06-14,26.21966666666667,31.646,20.814,50.916666666666664,0.15,7827.21,8146.318,3.57665,7.1644000000000005,93.499468305,22.515,29.295,16.045,56.4625,0.16000000000000003,7356.56,6904.959999999999,2.8903958333333333,5.8035000000000005,67.50794668958333,25.675666666666668,32.372,18.83,46.62916666666666,0.34800000000000003,7760.120000000001,8158.804,4.363250000000001,9.3194,190.87038585000002,24.24225,31.006,17.686,58.955,0.30600000000000005,7394.796,7043.781999999999,3.898175,7.417400000000001,141.13905037749998,1.2069606211356785,0.0,4.219666666666669,0.16000000000000003,0.16000000000000003
2026-06-15,25.214833333333335,30.528,20.204,40.47083333333333,0.014000000000000002,7893.62,8777.532,2.9366250000000003,7.3194,69.04830997250001,21.310208333333332,27.875,15.59,45.337500000000006,0.6650000000000001,7710.6900000000005,8130.659999999999,3.4205,7.846500000000001,89.06659187500001,25.210250000000002,32.342,18.074,40.123333333333335,0.0,8014.56,9127.5,3.5157000000000003,7.4408,83.89217799,22.684,28.982,16.99,43.8275,0.0,7949.88,8936.458,2.978558333333333,7.085400000000001,69.80656291583334,1.2229802983634632,0.0,3.2148333333333348,0.8250000000000002,0.8250000000000002
2026-06-16,25.629,31.584,19.932,16.715,0.0,7969.08,9170.43,3.3813083333333336,6.4643999999999995,89.28465724583333,21.52916666666667,29.51,13.585,17.275000000000002,0.0,7924.1900000000005,8722.435,2.53225,6.6405,50.359376675,26.64225,33.682,19.286,14.235000000000001,0.054000000000000006,7956.860000000001,9424.706,3.1020250000000003,6.6168000000000005,87.5803581675,23.246333333333332,30.85,16.194,24.508333333333333,0.0,7859.336,9004.261999999999,3.3252,6.5946,110.52926199999999,1.529245420693802,0.0,3.6290000000000013,0.8250000000000002,0.8250000000000002
2026-06-17,26.875833333333333,33.084,20.692,9.746666666666668,0.0,8304.900000000001,10009.466,3.482125,6.8394,91.8374493125,22.80375,31.310000000000002,15.435,34.29375,2.765,7259.625,7147.915,2.4995208333333334,5.1355,39.43392580208334,27.900583333333337,35.498,19.868000000000002,10.145833333333334,0.07,8204.44,9919.15,4.484983333333334,9.5372,211.76068145333335,25.3135,32.538000000000004,18.418,24.065833333333334,0.020000000000000004,7978.468,9102.416000000001,5.020791666666667,8.516,339.8436851541667,3.551292257137091,0.0,4.875833333333333,3.5900000000000003,3.5900000000000003
2026-06-18,26.530333333333335,32.646,21.096,36.98833333333334,0.04000000000000001,7931.67,8821.67,4.27245,7.8802,164.457511815,23.28125,31.020000000000003,16.925,49.77916666666667,0.12000000000000002,7719.175,7942.35,3.2498125,7.5360000000000005,92.01899283125,27.51225,34.53,19.878,41.135000000000005,0.030000000000000006,7978.780000000001,8904.94,4.403366666666668,9.088600000000001,220.24429839166666,25.073166666666665,31.524,18.156,30.286666666666665,0.0,8174.276,9500.736,5.340625,8.4,310.83341264750004,2.814937755257161,0.0,4.530333333333335,3.7100000000000004,3.7100000000000004
2026-06-19,26.68725,32.402,21.504,53.3325,0.27,7753.7300000000005,8403.547999999999,4.350475,7.3896,144.3838426625,22.35125,30.385,16.225,52.614583333333336,1.43,7619.88,7916.335000000001,2.905375,6.868,65.99382105,27.6445,35.24,19.972,49.45916666666667,0.12200000000000001,7550.200000000001,7745.604,4.055525,7.869800000000001,189.2852698925,24.31908333333333,31.529999999999998,17.512,52.19583333333333,0.136,7810.428,7985.35,5.580383333333334,9.0768,371.9694547733333,2.835400329571679,0.0,4.687249999999999,5.140000000000001,5.140000000000001
2026-06-20,27.803,34.178,22.568,50.4175,0.012,7640.56,8189.112000000001,4.918091666666667,8.286200000000001,227.17350325916667,23.186666666666667,31.06,15.595,72.31875,2.255,7247.67,6578.085,3.8157083333333337,8.867,171.04588489583335,28.838583333333336,36.648,21.522000000000002,43.84,0.0,8113.14,9309.140000000001,5.2938833333333335,9.355,401.15390603833333,25.329166666666666,32.644,18.696,61.781666666666666,0.11400000000000002,7843.868,8100.612,6.418741666666667,10.276,581.4737024541668,3.129457295277084,0.0,5.803000000000001,7.3950000000000005,7.3950000000000005
2026-06-21,29.25825,36.168,22.82,24.888333333333332,0.03,8244.4,9759.29,4.435991666666666,7.8404,196.38145724416663,26.700833333333335,35.17,18.795,55.59583333333334,0.585,8018.185,8517.65,4.011916666666666,9.572500000000002,216.38229352916667,29.97683333333333,38.716,21.748,11.048333333333334,0.0,8322.24,10124.044,5.458266666666668,9.765,423.52785007166665,27.88625,35.548,20.964,34.016666666666666,0.06000000000000001,8208.172,9706.240000000002,6.643516666666667,10.1298,582.5447604366666,3.3225506999796384,0.0,7.25825,7.82,7.98
2026-06-22,29.900000000000002,36.474,23.288,39.6725,0.0,7950.110000000001,8556.66,3.9632916666666667,7.3002,125.81214679916667,27.330208333333335,35.94,19.689999999999998,74.49791666666667,0.0,7063.224999999999,6110.09,3.7486875,8.289000000000001,125.09585459374999,30.15925,39.368,22.416,45.542500000000004,0.0,7602.280000000001,7625.434000000001,4.835825,9.3204,314.53206701749997,29.018833333333333,36.696,21.806,48.96333333333333,0.04000000000000001,7783.612,8064.554,6.1430750000000005,9.5434,456.5884312575,2.6335253413209503,0.0,7.900000000000002,7.155,7.98
